Figure,Caption,Status,Shortcut,Notebook,Result,Source_Scripts,Notes
Figure1,Coverage and similarity of LR pairs associated with CCC across tools.,partial_notebook_manual_assembly,figures/Figure1/run.py,figures/Figure1/Figure1_demo.ipynb,figures/Figure1/results/published/Figure1.svg,,Coverage/similarity; final assembly is not fully scriptable.
Figure2,Spatial autocorrelation analysis of CCC analysis tools.,precomputed_autocorrelation_redraw,figures/Figure2/run.py,figures/Figure2/Figure2_demo.ipynb,figures/Figure2/results/published/Figure2.svg,figures/Figure2/scripts/figure2_ab_cxcl10_cxcr3_local_moran_geary_maps.py | figures/Figure2/scripts/figure2_cd_method1_method2_cdf_three_spatial_types.py | figures/Figure2/scripts/figure2_eh_export_representative_interaction_svgs.py | figures/Figure2/scripts/figure2_cd_ij_tool_autocorr_method1_distributions.py | figures/Figure2/scripts/figure2_cd_ij_tool_autocorr_method2_distributions.py,Reads existing local Moran/Geary arrays and existing tool results; no autocorrelation calculation.
Figure3,"Spatial boundary adaptation under gradient change, edge equalization, and signal loss.",computational_panels_manual_final_assembly,figures/Figure3/run.py,figures/Figure3/Figure3_demo.ipynb,figures/Figure3/results/published/Figure3.svg,figures/Figure3/scripts/figure3_abc_boundary_gradient_equalization_signal_loss.py | figures/Figure3/scripts/figure3_boundary_adaptation_helpers.py | figures/Figure3/scripts/figure3_preprocess_helper.py | figures/Figure3/scripts/export_boundary_ligand_counts.py,Panels are regenerated from a compact ligand-count export of the latest raw tool results; the submitted assembly remains separate.
Figure4,Robustness analysis under six noise perturbations.,computational_figure4b_manual_figure4a_assembly,figures/Figure4/run.py,figures/Figure4/Figure4_demo.ipynb,figures/Figure4/results/published/Figure4.svg,figures/Figure4/scripts/plot_processed_noise_resistance.py | figures/Figure4/scripts/plotting_module.py,Noise panels use the latest processed_noise input and the result summary synchronized with Figure5; the schematic remains reference-only.
Figure5,Overview of the evaluation framework and guidelines for users.,computational_figure5a_manual_figure5b_assembly,figures/Figure5/run.py,figures/Figure5/Figure5_demo.ipynb,figures/Figure5/results/published/Figure5.svg,figures/Figure5/scripts/figure5_a_overview_summary_bars_dotmatrix.py | figures/Figure5/scripts/update_result_summary_noise_only.py | figures/Figure5/scripts/recompute_boundary_metrics.py,The six noise F1 columns use the latest noise input. Boundary metrics were independently refreshed from Figure3: dropdown_edge is an unnormalized signed count difference; equal_edge and gradient_edge are KS statistics.
FigureS1,"Data preprocessing, simulation, baseline setup, tool execution, and downstream workflow.",manual_workflow_diagram,figures/FigureS1/run.py,figures/FigureS1/FigureS1_demo.ipynb,figures/FigureS1/results/published/FigureS1.svg,,Workflow diagram retained as submitted reference.
FigureS2,Consensus-based performance and related supplementary evaluations.,notebook_helpers_partial,figures/FigureS2/run.py,figures/FigureS2/FigureS2_demo.ipynb,figures/FigureS2/results/published/FigureS2.svg,,Source is shared with supplementary benchmark notebooks.
FigureS3,Spatial autocorrelation examples in DLPFC and mouse brain data.,precomputed_h5ad_redraw,figures/FigureS3/run.py,figures/FigureS3/FigureS3_demo.ipynb,figures/FigureS3/results/published/FigureS3.svg,figures/FigureS3/scripts/figures3_draw_compact_layout.py | figures/FigureS3/scripts/figures3_draw_bottom_legends_new_mf.py | figures/FigureS3/scripts/figures3_dlpfc_mf_two_3x4_svgs.py,Reads the latest existing DLPFC/MF h5ad objects without recalculation and outputs separate 3x4 SVGs without panel letters.
FigureS4,ROI-associated pathway gene enrichment / KEGG summary.,notebook_only,figures/FigureS4/run.py,figures/FigureS4/FigureS4_demo.ipynb,figures/FigureS4/results/published/FigureS4.svg,,Pathway enrichment source is an original notebook.
FigureS5,Spatial autocorrelation workflow and classification thresholds.,precomputed_results_only_no_autocorrelation_recalculation,figures/FigureS5/run.py,figures/FigureS5/FigureS5_demo.ipynb,figures/FigureS5/results/published/FigureS5.svg,,Historical ESDA methods are not called by the Figure shortcut.
FigureS6,Runtime and memory usability analysis.,notebook_helpers_partial,figures/FigureS6/run.py,figures/FigureS6/FigureS6_demo.ipynb,figures/FigureS6/results/published/FigureS6.svg,,Runtime/memory source is retained as a notebook reference.
FigureS7,Additional supplementary benchmark panels.,notebook_only,figures/FigureS7/run.py,figures/FigureS7/FigureS7_demo.ipynb,figures/FigureS7/results/published/FigureS7.svg,,Shared original notebook source.
FigureS8,Additional tool comparison and autocorrelation panels.,notebook_only,figures/FigureS8/run.py,figures/FigureS8/FigureS8_demo.ipynb,figures/FigureS8/results/published/FigureS8.svg,,Shared original notebook source.
FigureS9,Boundary signal simulation details.,manual_schematic,figures/FigureS9/run.py,figures/FigureS9/FigureS9_demo.ipynb,figures/FigureS9/results/published/FigureS9.svg,,Boundary simulation schematic retained as submitted reference.
